Check failed for (fp128): alpha = -6.276902121872406890448361479792446694e+00; beta = -1.569225530468101722612090369948111674e+00; diff = 3.851859888774471706111955885169854637e-34; -999/1000
Check failed for (fp128): alpha = -6.264335751258047717494510906259328122e+00; beta = -1.566083937814511929373627726564832031e+00; diff = 1.956022599768286413259977597937816808e-34; -997/1000
Check failed for (fp128): alpha = -6.258052565950868131017585619492769221e+00; beta = -1.564513141487717032754396404873192305e+00; diff = 1.925929944387235853055977942584927319e-34; -996/1000
Check failed for (fp128): alpha = -6.245486195336508958063735045959651420e+00; beta = -1.561371548834127239515933761489912855e+00; diff = 1.956022599768286413259977597937816808e-34; -994/1000
Check failed for (fp128): alpha = -6.232919824722149785109884472426533618e+00; beta = -1.558229956180537446277471118106633404e+00; diff = 1.925929944387235853055977942584927319e-34; -992/1000
Check failed for (fp128): alpha = -6.226636639414970198632959185659974717e+00; beta = -1.556659159853742549658239796414993679e+00; diff = 1.925929944387235853055977942584927319e-34; -991/1000
Check failed for (fp128): alpha = -6.220353454107790612156033898893415816e+00; beta = -1.555088363526947653039008474723353954e+00; diff = 1.925929944387235853055977942584927319e-34; -990/1000
Check failed for (fp128): alpha = -6.214070268800611025679108612126856916e+00; beta = -1.553517567200152756419777153031714229e+00; diff = 1.925929944387235853055977942584927319e-34; -989/1000
Check failed for (fp128): alpha = -6.207787083493431439202183325360298015e+00; beta = -1.551946770873357859800545831340074504e+00; diff = 1.986115255149336973463977253290706297e-34; -988/1000
Check failed for (fp128): alpha = -6.201503898186251852725258038593739114e+00; beta = -1.550375974546562963181314509648434778e+00; diff = 1.986115255149336973463977253290706297e-34; -987/1000
Check failed for (fp128): alpha = -6.195220712879072266248332751827179443e+00; beta = -1.548805178219768066562083187956794861e+00; diff = 3.851859888774471706111955885169854637e-34; -986/1000
Check failed for (fp128): alpha = -6.182654342264713093294482178294061641e+00; beta = -1.545663585566178273323620544573515410e+00; diff = 3.972230510298673946927954506581412594e-34; -984/1000
Check failed for (fp128): alpha = -6.170087971650353920340631604760943839e+00; beta = -1.542521992912588480085157901190235960e+00; diff = 3.611118645726067224479958642346738722e-34; -982/1000
Check failed for (fp128): alpha = -6.163804786343174333863706317994384168e+00; beta = -1.540951196585793583465926579498596042e+00; diff = 2.046300565911438093871976563996485276e-34; -981/1000
Check failed for (fp128): alpha = -6.157521601035994747386781031227825267e+00; beta = -1.539380400258998686846695257806956317e+00; diff = 1.925929944387235853055977942584927319e-34; -980/1000
Check failed for (fp128): alpha = -6.144955230421635574432930457694707466e+00; beta = -1.536238807605408893608232614423676866e+00; diff = 2.046300565911438093871976563996485276e-34; -978/1000
Check failed for (fp128): alpha = -6.126105674500096815002154597395029993e+00; beta = -1.531526418625024203750538649348757498e+00; diff = 3.851859888774471706111955885169854637e-34; -975/1000
Check failed for (fp128): alpha = -6.113539303885737642048304023861912191e+00; beta = -1.528384825971434410512076005965478048e+00; diff = 3.851859888774471706111955885169854637e-34; -973/1000
Check failed for (fp128): alpha = -6.100972933271378469094453450328794390e+00; beta = -1.525243233317844617273613362582198597e+00; diff = 3.611118645726067224479958642346738722e-34; -971/1000
Check failed for (fp128): alpha = -6.088406562657019296140602876795676588e+00; beta = -1.522101640664254824035150719198919147e+00; diff = 3.851859888774471706111955885169854637e-34; -969/1000
Check failed for (fp128): alpha = -6.075840192042660123186752303262558786e+00; beta = -1.518960048010665030796688075815639697e+00; diff = 3.611118645726067224479958642346738722e-34; -967/1000
Check failed for (fp128): alpha = -6.069557006735480536709827016495999115e+00; beta = -1.517389251683870134177456754123999779e+00; diff = 1.925929944387235853055977942584927319e-34; -966/1000
Check failed for (fp128): alpha = -6.063273821428300950232901729729440214e+00; beta = -1.515818455357075237558225432432360054e+00; diff = 1.925929944387235853055977942584927319e-34; -965/1000
Check failed for (fp128): alpha = -6.056990636121121363755976442962881313e+00; beta = -1.514247659030280340938994110740720328e+00; diff = 1.925929944387235853055977942584927319e-34; -964/1000
Check failed for (fp128): alpha = -6.044424265506762190802125869429763512e+00; beta = -1.511106066376690547700531467357440878e+00; diff = 1.925929944387235853055977942584927319e-34; -962/1000
Check failed for (fp128): alpha = -6.038141080199582604325200582663204611e+00; beta = -1.509535270049895651081300145665801153e+00; diff = 1.925929944387235853055977942584927319e-34; -961/1000
Check failed for (fp128): alpha = -6.031857894892403017848275295896644940e+00; beta = -1.507964473723100754462068823974161235e+00; diff = 3.851859888774471706111955885169854637e-34; -960/1000
Check failed for (fp128): alpha = -6.019291524278043844894424722363527138e+00; beta = -1.504822881069510961223606180590881785e+00; diff = 3.611118645726067224479958642346738722e-34; -958/1000
Check failed for (fp128): alpha = -6.006725153663684671940574148830409336e+00; beta = -1.501681288415921167985143537207602334e+00; diff = 3.611118645726067224479958642346738722e-34; -956/1000
Check failed for (fp128): alpha = -5.994158783049325498986723575297291535e+00; beta = -1.498539695762331374746680893824322884e+00; diff = 3.851859888774471706111955885169854637e-34; -954/1000
Check failed for (fp128): alpha = -5.981592412434966326032873001764173733e+00; beta = -1.495398103108741581508218250441043433e+00; diff = 4.092601131822876187743953127992970552e-34; -952/1000
Check failed for (fp128): alpha = -5.969026041820607153079022428231055161e+00; beta = -1.492256510455151788269755607057763790e+00; diff = 2.166671187435640334687975185408043233e-34; -950/1000
Check failed for (fp128): alpha = -5.962742856513427566602097141464496260e+00; beta = -1.490685714128356891650524285366124065e+00; diff = 1.925929944387235853055977942584927319e-34; -949/1000
