Check failed for (fp32): alpha = -6.283185; beta = -1.570796; diff = 1.192093e-07; -1000/1000
Check failed for (fp32): alpha = -6.276902; beta = -1.569226; diff = 2.384186e-07; -999/1000
Check failed for (fp32): alpha = -6.270619; beta = -1.567655; diff = 2.384186e-07; -998/1000
Check failed for (fp32): alpha = -6.25177; beta = -1.562942; diff = 1.192093e-07; -995/1000
Check failed for (fp32): alpha = -6.245486; beta = -1.561372; diff = 2.384186e-07; -994/1000
Check failed for (fp32): alpha = -6.239203; beta = -1.559801; diff = 2.384186e-07; -993/1000
Check failed for (fp32): alpha = -6.220354; beta = -1.555088; diff = 1.192093e-07; -990/1000
Check failed for (fp32): alpha = -6.214071; beta = -1.553518; diff = 1.192093e-07; -989/1000
Check failed for (fp32): alpha = -6.207787; beta = -1.551947; diff = 1.192093e-07; -988/1000
Check failed for (fp32): alpha = -6.201504; beta = -1.550376; diff = 1.192093e-07; -987/1000
Check failed for (fp32): alpha = -6.195221; beta = -1.548805; diff = 1.192093e-07; -986/1000
Check failed for (fp32): alpha = -6.182655; beta = -1.545664; diff = 1.192093e-07; -984/1000
Check failed for (fp32): alpha = -6.176371; beta = -1.544093; diff = 1.192093e-07; -983/1000
Check failed for (fp32): alpha = -6.170088; beta = -1.542522; diff = 2.384186e-07; -982/1000
Check failed for (fp32): alpha = -6.163805; beta = -1.540951; diff = 1.192093e-07; -981/1000
Check failed for (fp32): alpha = -6.157522; beta = -1.53938; diff = 1.192093e-07; -980/1000
Check failed for (fp32): alpha = -6.151238; beta = -1.53781; diff = 3.576279e-07; -979/1000
Check failed for (fp32): alpha = -6.144955; beta = -1.536239; diff = 1.192093e-07; -978/1000
Check failed for (fp32): alpha = -6.138672; beta = -1.534668; diff = 1.192093e-07; -977/1000
Check failed for (fp32): alpha = -6.126106; beta = -1.531526; diff = 1.192093e-07; -975/1000
Check failed for (fp32): alpha = -6.119823; beta = -1.529956; diff = 2.384186e-07; -974/1000
Check failed for (fp32): alpha = -6.113539; beta = -1.528385; diff = 1.192093e-07; -973/1000
Check failed for (fp32): alpha = -6.107256; beta = -1.526814; diff = 1.192093e-07; -972/1000
Check failed for (fp32): alpha = -6.088407; beta = -1.522102; diff = 2.384186e-07; -969/1000
Check failed for (fp32): alpha = -6.082123; beta = -1.520531; diff = 1.192093e-07; -968/1000
Check failed for (fp32): alpha = -6.07584; beta = -1.51896; diff = 2.384186e-07; -967/1000
Check failed for (fp32): alpha = -6.063274; beta = -1.515818; diff = 1.192093e-07; -965/1000
Check failed for (fp32): alpha = -6.056991; beta = -1.514248; diff = 3.576279e-07; -964/1000
Check failed for (fp32): alpha = -6.050708; beta = -1.512677; diff = 3.576279e-07; -963/1000
Check failed for (fp32): alpha = -6.038141; beta = -1.509535; diff = 1.192093e-07; -961/1000
Check failed for (fp32): alpha = -6.025575; beta = -1.506394; diff = 2.384186e-07; -959/1000
Check failed for (fp32): alpha = -6.019292; beta = -1.504823; diff = 2.384186e-07; -958/1000
Check failed for (fp32): alpha = -6.013009; beta = -1.503252; diff = 2.384186e-07; -957/1000
Check failed for (fp32): alpha = -6.000442; beta = -1.500111; diff = 2.384186e-07; -955/1000
Check failed for (fp32): alpha = -5.994159; beta = -1.49854; diff = 2.384186e-07; -954/1000
Check failed for (fp32): alpha = -5.987876; beta = -1.496969; diff = 2.384186e-07; -953/1000
Check failed for (fp32): alpha = -5.981593; beta = -1.495398; diff = 1.192093e-07; -952/1000
Check failed for (fp32): alpha = -5.969026; beta = -1.492257; diff = 2.384186e-07; -950/1000
Check failed for (fp32): alpha = -5.962743; beta = -1.490686; diff = 2.384186e-07; -949/1000
Check failed for (fp32): alpha = -5.95646; beta = -1.489115; diff = 2.384186e-07; -948/1000
