Check failed for (fp128): alpha = 5.271592472723673054140315597143005614e+00; beta = 1.317898118180918263535078899285751404e+00; gamma = 6.589490590904591317675394496428757018e-01; diff = 1.925929944387235853055977942584927319e-34; 839/1000
Check failed for (fp128): alpha = 5.353273881717007678340344325108272866e+00; beta = 1.338318470429251919585086081277068216e+00; gamma = 6.691592352146259597925430406385341082e-01; diff = 1.925929944387235853055977942584927319e-34; 852/1000
Check failed for (fp128): alpha = 5.378406622945726024248045472174508469e+00; beta = 1.344601655736431506062011368043627117e+00; gamma = 6.723008278682157530310056840218135586e-01; diff = 2.046300565911438093871976563996485276e-34; 856/1000
Check failed for (fp128): alpha = 5.434955290710342302540373053073540117e+00; beta = 1.358738822677585575635093263268385029e+00; gamma = 6.793694113387927878175466316341925146e-01; diff = 1.925929944387235853055977942584927319e-34; 865/1000
Check failed for (fp128): alpha = 5.460088031939060648448074200139775720e+00; beta = 1.365022007984765162112018550034943930e+00; gamma = 6.825110039923825810560092750174719650e-01; diff = 2.046300565911438093871976563996485276e-34; 869/1000
Check failed for (fp128): alpha = 5.516636699703676926740401781038807368e+00; beta = 1.379159174925919231685100445259701842e+00; gamma = 6.895795874629596158425502226298509211e-01; diff = 2.046300565911438093871976563996485276e-34; 878/1000
Check failed for (fp128): alpha = 5.541769440932395272648102928105042972e+00; beta = 1.385442360233098818162025732026260743e+00; gamma = 6.927211801165494090810128660131303715e-01; diff = 2.046300565911438093871976563996485276e-34; 882/1000
Check failed for (fp128): alpha = 5.566902182161113618555804075171278575e+00; beta = 1.391725545540278404638951018792819644e+00; gamma = 6.958627727701392023194755093964098219e-01; diff = 1.925929944387235853055977942584927319e-34; 886/1000
Check failed for (fp128): alpha = 5.623450849925729896848131656070310223e+00; beta = 1.405862712481432474212032914017577556e+00; gamma = 7.029313562407162371060164570087887779e-01; diff = 1.925929944387235853055977942584927319e-34; 895/1000
Check failed for (fp128): alpha = 5.830795965062656250586666119366757032e+00; beta = 1.457698991265664062646666529841689258e+00; gamma = 7.288494956328320313233332649208446290e-01; diff = 2.046300565911438093871976563996485276e-34; 928/1000
Check failed for (fp128): alpha = 5.843362335677015423540516692899875604e+00; beta = 1.460840583919253855885129173224968901e+00; gamma = 7.304202919596269279425645866124844505e-01; diff = 2.888894916580853779583966913877390978e-34; 930/1000
Check failed for (fp128): alpha = 5.862211891598554182971292553199552306e+00; beta = 1.465552972899638545742823138299888077e+00; gamma = 7.327764864498192728714115691499440383e-01; diff = 2.768524295056651538767968292465833020e-34; 933/1000
Check failed for (fp128): alpha = 5.893627818134452115355918987032346810e+00; beta = 1.473406954533613028838979746758086703e+00; gamma = 7.367034772668065144194898733790433513e-01; diff = 2.648153673532449297951969671054275063e-34; 938/1000
Check failed for (fp128): alpha = 5.937610115284709220694395994398259887e+00; beta = 1.484402528821177305173598998599564972e+00; gamma = 7.422012644105886525867994992997824858e-01; diff = 1.986115255149336973463977253290706297e-34; 945/1000
Check failed for (fp128): alpha = 5.950176485899068393648246567931378459e+00; beta = 1.487544121474767098412061641982844615e+00; gamma = 7.437720607373835492060308209914223073e-01; diff = 2.828709605818752659175967603171611999e-34; 947/1000
Check failed for (fp128): alpha = 5.969026041820607153079022428231055161e+00; beta = 1.492256510455151788269755607057763790e+00; gamma = 7.461282552275758941348778035288818951e-01; diff = 2.888894916580853779583966913877390978e-34; 950/1000
Check failed for (fp128): alpha = 6.056990636121121363755976442962881313e+00; beta = 1.514247659030280340938994110740720328e+00; gamma = 7.571238295151401704694970553703601642e-01; diff = 2.888894916580853779583966913877390978e-34; 964/1000
Check failed for (fp128): alpha = 6.163804786343174333863706317994384168e+00; beta = 1.540951196585793583465926579498596042e+00; gamma = 7.704755982928967917329632897492980210e-01; diff = 2.678246328913499858155969326407164552e-34; 981/1000
Check failed for (fp128): alpha = 6.220353454107790612156033898893415816e+00; beta = 1.555088363526947653039008474723353954e+00; gamma = 7.775441817634738265195042373616769770e-01; diff = 2.708338984294550418359968981760054042e-34; 990/1000
Check failed for (fp128): alpha = 6.239203010029329371586809759193092519e+00; beta = 1.559800752507332342896702439798273130e+00; gamma = 7.799003762536661714483512198991365649e-01; diff = 2.836232769664015299226967517009834371e-34; 993/1000
Epsilon (fp128): 1.925929944387235853055977942584927319e-34
Failed: 152; OK: 1849
