Check failed for (fp128): alpha = -6.276902121872406890448361479792446694e+00; beta = -1.569225530468101722612090369948111674e+00; diff = 3.859383052619734346162955799008077009e-34; -999/1000
Check failed for (fp128): alpha = -6.258052565950868131017585619492769221e+00; beta = -1.564513141487717032754396404873192305e+00; diff = 1.925929944387235853055977942584927319e-34; -996/1000
Check failed for (fp128): alpha = -6.251769380643688544540660332726210320e+00; beta = -1.562942345160922136135165083181552580e+00; diff = 1.925929944387235853055977942584927319e-34; -995/1000
Check failed for (fp128): alpha = -6.245486195336508958063735045959651420e+00; beta = -1.561371548834127239515933761489912855e+00; diff = 1.986115255149336973463977253290706297e-34; -994/1000
Check failed for (fp128): alpha = -6.239203010029329371586809759193092519e+00; beta = -1.559800752507332342896702439798273130e+00; diff = 1.925929944387235853055977942584927319e-34; -993/1000
Check failed for (fp128): alpha = -6.232919824722149785109884472426533618e+00; beta = -1.558229956180537446277471118106633404e+00; diff = 1.986115255149336973463977253290706297e-34; -992/1000
Check failed for (fp128): alpha = -6.220353454107790612156033898893415816e+00; beta = -1.555088363526947653039008474723353954e+00; diff = 1.986115255149336973463977253290706297e-34; -990/1000
Check failed for (fp128): alpha = -6.214070268800611025679108612126856916e+00; beta = -1.553517567200152756419777153031714229e+00; diff = 1.925929944387235853055977942584927319e-34; -989/1000
Check failed for (fp128): alpha = -6.207787083493431439202183325360298015e+00; beta = -1.551946770873357859800545831340074504e+00; diff = 1.986115255149336973463977253290706297e-34; -988/1000
Check failed for (fp128): alpha = -6.201503898186251852725258038593739114e+00; beta = -1.550375974546562963181314509648434778e+00; diff = 1.925929944387235853055977942584927319e-34; -987/1000
Check failed for (fp128): alpha = -6.195220712879072266248332751827179443e+00; beta = -1.548805178219768066562083187956794861e+00; diff = 3.851859888774471706111955885169854637e-34; -986/1000
Check failed for (fp128): alpha = -6.182654342264713093294482178294061641e+00; beta = -1.545663585566178273323620544573515410e+00; diff = 3.972230510298673946927954506581412594e-34; -984/1000
Check failed for (fp128): alpha = -6.170087971650353920340631604760943839e+00; beta = -1.542521992912588480085157901190235960e+00; diff = 3.851859888774471706111955885169854637e-34; -982/1000
Check failed for (fp128): alpha = -6.163804786343174333863706317994384168e+00; beta = -1.540951196585793583465926579498596042e+00; diff = 1.925929944387235853055977942584927319e-34; -981/1000
Check failed for (fp128): alpha = -6.157521601035994747386781031227825267e+00; beta = -1.539380400258998686846695257806956317e+00; diff = 2.046300565911438093871976563996485276e-34; -980/1000
Check failed for (fp128): alpha = -6.144955230421635574432930457694707466e+00; beta = -1.536238807605408893608232614423676866e+00; diff = 2.287041808959842575503973806819601191e-34; -978/1000
Check failed for (fp128): alpha = -6.126105674500096815002154597395029993e+00; beta = -1.531526418625024203750538649348757498e+00; diff = 4.092601131822876187743953127992970552e-34; -975/1000
Check failed for (fp128): alpha = -6.113539303885737642048304023861912191e+00; beta = -1.528384825971434410512076005965478048e+00; diff = 3.611118645726067224479958642346738722e-34; -973/1000
Check failed for (fp128): alpha = -6.100972933271378469094453450328794390e+00; beta = -1.525243233317844617273613362582198597e+00; diff = 3.851859888774471706111955885169854637e-34; -971/1000
Check failed for (fp128): alpha = -6.088406562657019296140602876795676588e+00; beta = -1.522101640664254824035150719198919147e+00; diff = 3.851859888774471706111955885169854637e-34; -969/1000
Check failed for (fp128): alpha = -6.075840192042660123186752303262558786e+00; beta = -1.518960048010665030796688075815639697e+00; diff = 3.851859888774471706111955885169854637e-34; -967/1000
