Check failed for (fp80): x = -6.28318530717958647703; diff = 4.33680868994201773603e-19; -1000/1000
Check failed for (fp80): x = -6.27690212187240689041; diff = 4.31986803099693172925e-19; -999/1000
Check failed for (fp80): x = -6.27061893656522730423; diff = 8.67361737988403547206e-19; -998/1000
Check failed for (fp80): x = -6.25805256595086813144; diff = 4.2690460541616737089e-19; -996/1000
Check failed for (fp80): x = -6.25176938064368854482; diff = 4.33680868994201773603e-19; -995/1000
Check failed for (fp80): x = -6.24548619533650895821; diff = 4.33680868994201773603e-19; -994/1000
Check failed for (fp80): x = -6.2392030100293293716; diff = 4.20128341838132968178e-19; -993/1000
Check failed for (fp80): x = -6.23291982472214978498; diff = 4.33680868994201773603e-19; -992/1000
Check failed for (fp80): x = -6.22663663941497019837; diff = 4.33680868994201773603e-19; -991/1000
Check failed for (fp80): x = -6.21407026880061102558; diff = 8.53809210832334741781e-19; -989/1000
Check failed for (fp80): x = -6.2077870834934314394; diff = 4.06575814682064162753e-19; -988/1000
Check failed for (fp80): x = -6.20150389818625185278; diff = 4.20128341838132968178e-19; -987/1000
Check failed for (fp80): x = -6.19522071287907226617; diff = 4.33680868994201773603e-19; -986/1000
Check failed for (fp80): x = -6.18265434226471309338; diff = 8.40256683676265936356e-19; -984/1000
Check failed for (fp80): x = -6.1763711569575335072; diff = 4.06575814682064162753e-19; -983/1000
Check failed for (fp80): x = -6.17008797165035392058; diff = 4.06575814682064162753e-19; -982/1000
Check failed for (fp80): x = -6.16380478634317433397; diff = 4.06575814682064162753e-19; -981/1000
Check failed for (fp80): x = -6.15123841572881516118; diff = 8.13151629364128325506e-19; -979/1000
Check failed for (fp80): x = -6.13867204511445598795; diff = 8.13151629364128325506e-19; -977/1000
Check failed for (fp80): x = -6.12610567450009681515; diff = 4.06575814682064162753e-19; -975/1000
Check failed for (fp80): x = -6.11982248919291722854; diff = 3.79470760369926551903e-19; -974/1000
Check failed for (fp80): x = -6.11353930388573764193; diff = 3.79470760369926551903e-19; -973/1000
Check failed for (fp80): x = -6.10725611857855805575; diff = 7.04731412115577882105e-19; -972/1000
Check failed for (fp80): x = -6.09468974796419888295; diff = 3.79470760369926551903e-19; -970/1000
Check failed for (fp80): x = -6.08840656265701929634; diff = 3.25260651745651330202e-19; -969/1000
Check failed for (fp80): x = -6.08212337734983970973; diff = 3.25260651745651330202e-19; -968/1000
Check failed for (fp80): x = -6.07584019204266012355; diff = 7.04731412115577882105e-19; -967/1000
Check failed for (fp80): x = -6.06327382142830095032; diff = 7.04731412115577882105e-19; -965/1000
Check failed for (fp80): x = -6.05070745081394177709; diff = 6.50521303491302660404e-19; -963/1000
Check failed for (fp80): x = -6.04442426550676219091; diff = 3.79470760369926551903e-19; -962/1000
Check failed for (fp80): x = -6.0381410801995826043; diff = 3.25260651745651330202e-19; -961/1000
Check failed for (fp80): x = -6.03185789489240301768; diff = 2.71050543121376108502e-19; -960/1000
Check failed for (fp80): x = -6.01929152427804384489; diff = 6.50521303491302660404e-19; -958/1000
Check failed for (fp80): x = -6.01300833897086425871; diff = 2.71050543121376108502e-19; -957/1000
Check failed for (fp80): x = -6.0067251536636846721; diff = 2.71050543121376108502e-19; -956/1000
Check failed for (fp80): x = -6.00044196835650508548; diff = 2.71050543121376108502e-19; -955/1000
Check failed for (fp80): x = -5.98787559774214591269; diff = 5.42101086242752217004e-19; -953/1000
Check failed for (fp80): x = -5.9753092271277867399; diff = 2.71050543121376108502e-19; -951/1000
Check failed for (fp80): x = -5.96902604182060715328; diff = 2.71050543121376108502e-19; -950/1000
Check failed for (fp80): x = -5.96274285651342756667; diff = 2.71050543121376108502e-19; -949/1000
Check failed for (fp80): x = -5.95645967120624798006; diff = 2.71050543121376108502e-19; -948/1000
Check failed for (fp80): x = -5.95017648589906839344; diff = 2.71050543121376108502e-19; -947/1000
Check failed for (fp80): x = -5.94389330059188880726; diff = 4.33680868994201773603e-19; -946/1000
Check failed for (fp80): x = -5.93132692997752963447; diff = 2.71050543121376108502e-19; -944/1000
Check failed for (fp80): x = -5.92504374467035004785; diff = 1.62630325872825665101e-19; -943/1000
Check failed for (fp80): x = -5.91876055936317046124; diff = 1.62630325872825665101e-19; -942/1000
Check failed for (fp80): x = -5.91247737405599087506; diff = 3.79470760369926551903e-19; -941/1000
Check failed for (fp80): x = -5.90619418874881128845; diff = 5.42101086242752217004e-20; -940/1000
Check failed for (fp80): x = -5.89991100344163170183; diff = 3.25260651745651330202e-19; -939/1000
Check failed for (fp80): x = -5.89362781813445211565; diff = 1.08420217248550443401e-19; -938/1000
Check failed for (fp80): x = -5.88734463282727252904; diff = 1.62630325872825665101e-19; -937/1000
Check failed for (fp80): x = -5.88106144752009294243; diff = 2.16840434497100886801e-19; -936/1000
Check failed for (fp80): x = -5.86849507690573376963; diff = 3.25260651745651330202e-19; -934/1000
Check failed for (fp80): x = -5.85592870629137459641; diff = 2.71050543121376108502e-19; -932/1000
Check failed for (fp80): x = -5.84964552098419500979; diff = 5.42101086242752217004e-20; -931/1000
Check failed for (fp80): x = -5.84336233567701542361; diff = 5.42101086242752217004e-20; -930/1000
Check failed for (fp80): x = -5.837079150369835837; diff = 1.08420217248550443401e-19; -929/1000
Check failed for (fp80): x = -5.8245127797554766642; diff = 1.08420217248550443401e-19; -927/1000
Check failed for (fp80): x = -5.81194640914111749141; diff = 1.08420217248550443401e-19; -925/1000
Check failed for (fp80): x = -5.8056632238339379048; diff = 5.42101086242752217004e-20; -924/1000
Check failed for (fp80): x = -5.79938003852675831862; diff = 5.42101086242752217004e-20; -923/1000
Check failed for (fp80): x = -5.793096853219578732; diff = 5.42101086242752217004e-20; -922/1000
Check failed for (fp80): x = -5.78681366791239914539; diff = 5.42101086242752217004e-20; -921/1000
Check failed for (fp80): x = -5.78053048260521955878; diff = 5.42101086242752217004e-20; -920/1000
Check failed for (fp80): x = -5.76796411199086038555; diff = 5.42101086242752217004e-20; -918/1000
